Filename,CER,WER
Chapter1.txt,0.030891510980006556,0.09534671532846715
Chapter10.txt,0.04997702205882353,0.1569767441860465
Chapter100.txt,0.049523553885384514,0.1618867924528302
Chapter101.txt,0.03667506297229219,0.06857142857142857
Chapter102.txt,0.033142479630037434,0.12222222222222222
Chapter103.txt,0.031502112946600075,0.07926167209554831
Chapter104.txt,0.031511100501312964,0.0833922261484099
Chapter105.txt,0.03745730968381624,0.08979328165374677
Chapter106.txt,0.017958585303280192,0.08360477741585233
Chapter107.txt,0.09630818619582665,0.11423039690222653
Chapter108.txt,0.06108385891146928,0.18487394957983194
Chapter109.txt,0.21415998435360845,0.31561461794019935
Chapter11.txt,0.024062816616008106,0.059474412171507604
Chapter110.txt,0.1126491646778043,0.1
Chapter111.txt,0.02153968887116075,0.08373205741626795
Chapter112.txt,0.030243024302430244,0.0627027027027027
Chapter113.txt,0.07526568641723685,0.19933829611248965
Chapter114.txt,0.03712543092018032,0.12755905511811025
Chapter115.txt,0.04144074360960496,0.125
Chapter116.txt,0.038384512683578106,0.14677103718199608
Chapter117.txt,0.06092767295597484,0.1781115879828326
Chapter118.txt,0.04751534349633736,0.1753393665158371
Chapter119.txt,0.04807349903853002,0.1424592120970951
Chapter12.txt,0.07756856324191568,0.13683010262257697
Chapter120.txt,0.09671179883945841,0.2752808988764045
Chapter121.txt,0.075,0.16019417475728157
Chapter122.txt,0.17006802721088435,0.3469387755102041
Chapter123.txt,0.2365559800176315,0.14046822742474915
Chapter124.txt,0.04247381259865117,0.11557788944723618
Chapter125.txt,0.042301458670988654,0.14142335766423358
Chapter126.txt,0.03257545539157027,0.09467455621301775
Chapter127.txt,0.07064803049555274,0.2820143884892086
Chapter128.txt,0.04276985743380855,0.14493809176984704
Chapter129.txt,0.04506578947368421,0.16928446771378708
Chapter13.txt,0.03723952960594182,0.09253731343283582
Chapter130.txt,0.03213060205885411,0.1172950329144225
Chapter131.txt,0.06688154713940371,0.25
Chapter132.txt,0.062123108430993286,0.18164556962025316
Chapter133.txt,0.07970943359183273,0.17702663993125178
Chapter134.txt,0.060806451612903226,0.14621329211746523
Chapter135.txt,0.3301431590700642,0.1644943820224719
Chapter14.txt,0.05024199124222171,0.14058355437665782
Chapter15.txt,0.040321358193118086,0.14067796610169492
Chapter16.txt,0.04045503720945481,0.12894299944659657
Chapter17.txt,0.05875840253064452,0.14063886424134872
Chapter18.txt,0.0407633389588472,0.16109873793615442
Chapter19.txt,0.04508071885470606,0.19365609348914858
Chapter2.txt,0.029730410682791635,0.08104298801973221
Chapter20.txt,0.029844961240310077,0.06739130434782609
Chapter21.txt,0.06301770342699367,0.24273664479850046
Chapter22.txt,0.08420365535248042,0.13577185368877867
Chapter23.txt,0.17709291628334867,0.1487603305785124
Chapter24.txt,0.23714315160259714,0.28640776699029125
Chapter25.txt,0.022896039603960396,0.08243727598566308
Chapter26.txt,0.033854907539118066,0.06721311475409836
Chapter27.txt,0.04129452558579384,0.0733173076923077
Chapter28.txt,0.03712871287128713,0.07741935483870968
Chapter29.txt,0.10486206370980033,0.19139966273187184
Chapter3.txt,0.04313982931632749,0.10404424472865538
Chapter30.txt,0.03689806128830519,0.14482758620689656
Chapter31.txt,0.04659014179608373,0.1881656804733728
Chapter32.txt,0.07431957416892639,0.15169309062438832
Chapter33.txt,0.02698058085581715,0.061139896373056994
Chapter34.txt,0.03363793918386639,0.09762773722627738
Chapter35.txt,0.040466345827967196,0.10655090765588003
Chapter36.txt,0.05250551528521904,0.20454545454545456
Chapter37.txt,0.041892379920548936,0.22
Chapter38.txt,0.04547630445189086,0.2641025641025641
Chapter39.txt,0.05858310626702997,0.16015625
Chapter4.txt,0.028054794520547946,0.08338405356055995
Chapter40.txt,0.12848158131176998,0.33421575115817337
Chapter41.txt,0.059626763768775605,0.08031914893617022
Chapter42.txt,0.08975268359578191,0.13002495148322707
Chapter43.txt,0.05960648148148148,0.2760942760942761
Chapter44.txt,0.13901121728292481,0.2039506172839506
Chapter45.txt,0.06725610967613749,0.11246114721672788
Chapter46.txt,0.02905326431791618,0.07669021190716448
Chapter47.txt,0.03636702722864603,0.13086150490730644
Chapter48.txt,0.04410913784661949,0.12554333929941192
Chapter49.txt,0.034585824081981215,0.09723889555822329
Chapter5.txt,0.030295801526717556,0.10461956521739131
Chapter50.txt,0.07889237199582028,0.12326043737574553
Chapter51.txt,0.08046506273742374,0.12308715901530273
Chapter52.txt,0.0733152308072081,0.14985994397759103
Chapter53.txt,0.03416978109983983,0.09039900249376559
Chapter54.txt,0.0494631305159727,0.13262599469496023
Chapter55.txt,0.031367169638774575,0.08284652150823155
Chapter56.txt,0.033377308707124013,0.09118773946360154
Chapter57.txt,0.11434212888170885,0.16012725344644752
Chapter58.txt,0.08811795316565481,0.13392857142857142
Chapter59.txt,0.04094223219293326,0.08922742110990206
Chapter6.txt,0.027616279069767442,0.08395061728395062
Chapter60.txt,0.030066950699939136,0.0852233676975945
Chapter61.txt,0.1420469889278963,0.21190354027706515
Chapter62.txt,0.03209405783285669,0.07231040564373897
Chapter63.txt,0.026492405510420345,0.07578947368421053
Chapter64.txt,0.06666666666666667,0.17734322319622386
Chapter65.txt,0.0406563354603464,0.10547667342799188
Chapter66.txt,0.13141910546659305,0.17965023847376788
Chapter67.txt,0.025720409621338414,0.050684931506849315
Chapter68.txt,0.02685554079976391,0.0661641541038526
Chapter69.txt,0.12733784321528055,0.21064814814814814
Chapter7.txt,0.06499068901303538,0.1357370095440085
Chapter70.txt,0.03369672943508424,0.1235565819861432
