Accuracy,Precision,Recall,F1 Score,Filename
0.06666666666666667,0.04671813268160599,0.06666666666666667,0.04545329986684513,Chapter96.txt
0.05982267848810079,0.04693778588480587,0.05982267848810079,0.04289510850078766,Chapter22.txt
0.0728513174404015,0.055518968015940084,0.0728513174404015,0.0514752902292368,Chapter44.txt
0.03925761549324188,0.021025298503153128,0.03925761549324188,0.020058303722994858,Chapter35.txt
0.01820420367601794,0.02009597439319745,0.01820420367601794,0.016199837888423836,Chapter11.txt
0.033266001767453604,0.029939541136689535,0.033266001767453604,0.0234688824014395,Chapter61.txt
0.03769220302081916,0.031484238527269205,0.03769220302081916,0.025242336388921656,Chapter64.txt
0.3938506588579795,0.3768385104402674,0.3938506588579795,0.3735859393212896,Chapter52.txt
0.03561387066541706,0.03218288693533892,0.03561387066541706,0.026801216117897923,Chapter12.txt
0.07776089159067882,0.06479729222489003,0.07776089159067882,0.060294354212590155,Chapter117.txt
0.03882110600538742,0.028907145267145506,0.03882110600538742,0.0238035385111499,Chapter85.txt
0.06021430740531864,0.04339319270266459,0.06021430740531864,0.040331541314919346,Chapter42.txt
0.04460478845523122,0.052606499627181745,0.04460478845523122,0.041259110916257724,Chapter36.txt
0.04703604408698243,0.037709799743172116,0.04703604408698243,0.0315711621024117,Chapter87.txt
0.034371643394199784,0.02395682221566223,0.034371643394199784,0.02134725846566705,Chapter70.txt
0.03653319973794751,0.032851583295672046,0.03653319973794751,0.025188347366322292,Chapter41.txt
0.044064748201438846,0.03432884273969537,0.044064748201438846,0.03083731439316191,Chapter134.txt
0.04434711196277032,0.016617430845629992,0.04434711196277032,0.017621045204754146,Chapter97.txt
0.012879484820607176,0.0226518536661131,0.012879484820607176,0.015422311212126677,Chapter39.txt
0.07480785653287789,0.061279614081999605,0.07480785653287789,0.055450896556360166,Chapter83.txt
0.039097424253175334,0.03980234028678646,0.039097424253175334,0.029153355532157997,Chapter9.txt
0.020727522306108442,0.011866005814248693,0.020727522306108442,0.011798615790209773,Chapter63.txt
0.060688786224275516,0.04809783265041311,0.060688786224275516,0.04881715613426625,Chapter69.txt
0.03187420314492138,0.03575505262648006,0.03187420314492138,0.02750229322920299,Chapter132.txt
0.031000744443262788,0.026975764366394775,0.031000744443262788,0.021476010615352,Chapter55.txt
0.0663649025069638,0.041433657207205835,0.0663649025069638,0.03956502204935802,Chapter73.txt
0.03777579674615556,0.030625765545966768,0.03777579674615556,0.02840219523761473,Chapter80.txt
0.051476456504389465,0.039405425642938446,0.051476456504389465,0.036213531563992186,Chapter93.txt
0.07463942307692308,0.05619247768881009,0.07463942307692308,0.05352695074381817,Chapter103.txt
0.013857987413387578,0.026267311368872122,0.013857987413387578,0.012518070767430287,Chapter135.txt
0.037456608246549825,0.029776986961175953,0.037456608246549825,0.0235960935301524,Chapter16.txt
0.04863351390833283,0.038976488860391886,0.04863351390833283,0.03510006890776672,Chapter130.txt
0.03682892153544107,0.03317485518505985,0.03682892153544107,0.027668456769364625,Chapter56.txt
0.005800876050668876,0.005023580028477864,0.005800876050668876,0.004170006105395947,Chapter38.txt
0.015166583789159622,0.011593948035704458,0.015166583789159622,0.011093157100950681,Chapter25.txt
0.07237698516011455,0.0797666566280035,0.07237698516011455,0.06578249193492507,Chapter88.txt
0.1269968051118211,0.13291734270964467,0.1269968051118211,0.11851247328456997,Chapter125.txt
0.07589429584273284,0.056788422764023044,0.07589429584273284,0.05333914633872947,Chapter86.txt
0.03097275031685678,0.024542809528113028,0.03097275031685678,0.019716184144928466,Chapter21.txt
0.07263362803147051,0.07329579558990802,0.07263362803147051,0.05834820005476081,Chapter133.txt
0.051279367903301766,0.04461498933211031,0.051279367903301766,0.03929800954064484,Chapter34.txt
0.039606802037741265,0.03479688677228563,0.039606802037741265,0.02950496798179225,Chapter18.txt
0.38362573099415204,0.3818443894168492,0.38362573099415204,0.37333168152956725,Chapter118.txt
0.04620222544750847,0.03509124777261848,0.04620222544750847,0.03220996774914497,Chapter7.txt
0.04632606422124957,0.026188250910013592,0.04632606422124957,0.025307199554443417,Chapter100.txt
0.07812041116005873,0.05965096710821114,0.07812041116005873,0.05889651341882572,Chapter4.txt
0.18592964824120603,0.24728856497809962,0.18592964824120603,0.20305219751922687,Chapter95.txt
0.03996499416569428,0.02931865818225841,0.03996499416569428,0.025685865868777767,Chapter71.txt
0.09551543389633081,0.09444438086398697,0.09551543389633081,0.08216664833110604,Chapter65.txt
0.04079759719672952,0.03528925434501108,0.04079759719672952,0.031046895411906316,Chapter123.txt
0.05206680974153215,0.02826077615980956,0.05206680974153215,0.031599637331547685,Chapter104.txt
0.2731707317073171,0.2671711901312893,0.2731707317073171,0.25390362426010576,Chapter14.txt
0.08592158859470468,0.06643315621766559,0.08592158859470468,0.06575970459642781,Chapter57.txt
0.05211897867859963,0.0414222096648667,0.05211897867859963,0.03421651311898356,Chapter110.txt
0.04445776940209011,0.03563039023729673,0.04445776940209011,0.0291631355767033,Chapter124.txt
0.034872761545711596,0.040756315694852656,0.034872761545711596,0.03169328210929518,Chapter107.txt
0.055545952175165655,0.046523495980103934,0.055545952175165655,0.03950384099080988,Chapter81.txt
0.02860679411360198,0.042011603499990224,0.02860679411360198,0.0258239895150596,Chapter126.txt
0.3829908675799087,0.3068969948955944,0.3829908675799087,0.3265078349500677,Chapter6.txt
0.05914315569487983,0.07148706502635473,0.05914315569487983,0.05534149646099987,Chapter127.txt
0.06460251832362338,0.04214269252617308,0.06460251832362338,0.03896468840285207,Chapter3.txt
0.06942846183352512,0.05026214404824624,0.06942846183352512,0.04783701449235086,Chapter8.txt
0.022441993153290225,0.019916590794142115,0.022441993153290225,0.016185021377796673,Chapter46.txt
0.06041878726188745,0.04182053424101839,0.06041878726188745,0.039257960758801266,Chapter101.txt
0.3567708333333333,0.33159160774806334,0.3567708333333333,0.3305424174032547,Chapter23.txt
0.033204916529077234,0.029190831737264986,0.033204916529077234,0.02433507164534136,Chapter79.txt
0.28401663695781343,0.3330119195011623,0.28401663695781343,0.29600594589631485,Chapter50.txt
0.06676783004552352,0.07234212663386838,0.06676783004552352,0.06100182961624983,Chapter92.txt
0.036177105831533475,0.027219525751089803,0.036177105831533475,0.02639830286632376,Chapter131.txt
0.04980192416525184,0.07269870440069343,0.04980192416525184,0.04315186474111238,Chapter91.txt
0.026933024168375994,0.017331866373982225,0.026933024168375994,0.015108811665945823,Chapter5.txt
0.03934199930978949,0.04391700960163994,0.03934199930978949,0.03313750430769421,Chapter76.txt
0.13226277372262774,0.16626251100650552,0.13226277372262774,0.1357180959843467,Chapter75.txt
0.022013860578883,0.0216897632877351,0.022013860578883,0.0168176842451243,Chapter84.txt
0.04082976621666118,0.02914285697986597,0.04082976621666118,0.02542415113697078,Chapter94.txt
0.06649026971662683,0.05518179239336847,0.06649026971662683,0.04833892258509192,Chapter105.txt
0.0466662599890197,0.048255109820122044,0.0466662599890197,0.0395861357866286,Chapter40.txt
0.03684697568772609,0.02633745929186311,0.03684697568772609,0.02133239887977303,Chapter89.txt
0.05888845092629089,0.03348439924639601,0.05888845092629089,0.033428926910886954,Chapter102.txt
0.020317899101589494,0.00886907189423956,0.020317899101589494,0.009176849179179016,Chapter111.txt
0.04524025385312783,0.03550158084471355,0.04524025385312783,0.029881377184872444,Chapter17.txt
0.006282283959234958,0.006263985590896835,0.006282283959234958,0.004139724641614934,Chapter43.txt
0.0491492262998755,0.03260995782048128,0.0491492262998755,0.0303167006718701,Chapter74.txt
0.1455357142857143,0.14186718318596775,0.1455357142857143,0.13258826414436167,Chapter67.txt
0.40594059405940597,0.47029702970297027,0.40594059405940597,0.4251187756138251,Chapter122.txt
0.03459119496855346,0.013216931341050188,0.03459119496855346,0.014571110591503659,Chapter26.txt
0.0556385068762279,0.05335282841786539,0.0556385068762279,0.04516544310638474,Chapter60.txt
0.0154698683906719,0.019094715707881318,0.0154698683906719,0.013450114448459987,Epilogue.txt
0.07929408920585036,0.07392364895723268,0.07929408920585036,0.06602602075435222,Chapter19.txt
0.011889035667107,0.008718585128786916,0.011889035667107,0.00844408267168933,Chapter116.txt
0.3951219512195122,0.5023915626856803,0.3951219512195122,0.4261279077381103,Chapter30.txt
0.05203103605659516,0.04366832045048663,0.05203103605659516,0.03748784440871674,Chapter99.txt
0.06314102564102564,0.056138513094929864,0.06314102564102564,0.050175529921499144,Chapter24.txt
0.05325329202168862,0.03765581315980291,0.05325329202168862,0.034919405905093986,Chapter15.txt
0.04487712216549923,0.028248100721898543,0.04487712216549923,0.027939273186193964,Chapter58.txt
0.025410641583602414,0.0239000368096478,0.025410641583602414,0.019487328055394684,Chapter33.txt
0.061164333087693444,0.07080884782648293,0.061164333087693444,0.05705325377859128,Chapter121.txt
0.029534087917873125,0.01913988665443874,0.029534087917873125,0.016039004904198635,Chapter72.txt
0.07262934551983026,0.05322486243304291,0.07262934551983026,0.0479681885333096,Chapter78.txt
0.11826395611487577,0.09196737428074396,0.11826395611487577,0.0887533131994286,Chapter51.txt
0.03220170497334097,0.022059650242629916,0.03220170497334097,0.018110138572381404,Chapter45.txt
0.04920857112092172,0.03746310538554941,0.04920857112092172,0.031753514834224984,Chapter32.txt
0.06204485872414797,0.058368275721672656,0.06204485872414797,0.05453788568169927,Chapter2.txt
0.04856995619685648,0.04575683791370416,0.04856995619685648,0.04045532974810832,Chapter77.txt
0.06554524361948956,0.037987441044395893,0.06554524361948956,0.03822164719269236,Chapter53.txt
0.036895506654368165,0.04540544149708424,0.036895506654368165,0.03332491528964896,Chapter68.txt
0.0504865411348414,0.03835815933014862,0.0504865411348414,0.03289676237138976,Chapter13.txt
0.04707151577094512,0.03627078509922083,0.04707151577094512,0.03145266129633021,Chapter48.txt
0.03415783274440518,0.045812414187535,0.03415783274440518,0.03232153820727665,Chapter129.txt
0.01735303045633917,0.011330727905770875,0.01735303045633917,0.009219058085070345,Chapter128.txt
0.11306765523632993,0.09227221606202697,0.11306765523632993,0.0900800977525561,Chapter37.txt
0.10935023771790808,0.0943567272727719,0.10935023771790808,0.09225137543740974,Chapter49.txt
0.017907634307257305,0.018635877718065144,0.017907634307257305,0.0113993372627117,Chapter31.txt
