Subfolder,Number of Pages,Ground Truth File,Accuracy,Precision,Recall,F1 Score,OCR File
Chapter8,3,Chapter8.txt,0.44603174603174606,0.6729286158908008,0.44603174603174606,0.5179922311704678,Chapter8.txt
Chapter70,3,Chapter70.txt,0.5241379310344828,0.684146764457563,0.5241379310344828,0.5811069140990318,Chapter70.txt
Chapter99,7,Chapter99.txt,0.0006359300476947536,0.031160572337042926,0.0006359300476947536,0.0009474059894227961,Chapter99.txt
Chapter102,5,Chapter102.txt,0.005453644025780862,0.04853292468562673,0.005453644025780862,0.007802856723585153,Chapter102.txt
Chapter113,4,Chapter113.txt,0.3067552602436323,0.5833459770329298,0.3067552602436323,0.379002697266628,Chapter113.txt
Chapter104,5,Chapter104.txt,0.04953917050691244,0.2950405968839148,0.04953917050691244,0.06862757672349148,Chapter104.txt
Chapter63,3,Chapter63.txt,0.008605851979345954,0.06110154905335628,0.008605851979345954,0.013863331827547495,Chapter63.txt
Chapter62,2,Chapter62.txt,0.8042328042328042,0.8197282648150284,0.8042328042328042,0.8077386454239978,Chapter62.txt
Chapter36,10,Chapter36.txt,0.000823271130625686,0.040340285400658614,0.000823271130625686,0.0013507142247656733,Chapter36.txt
Chapter56,5,Chapter56.txt,0.0,0.0,0.0,0.0,Chapter56.txt
Chapter1,7,Chapter1.txt,0.0,0.0,0.0,0.0,Chapter1.txt
Chapter52,3,Chapter52.txt,0.4783950617283951,0.6311929582148951,0.4783950617283951,0.529656135620086,Chapter52.txt
Chapter103,3,Chapter103.txt,0.001784121320249777,0.010585786500148676,0.001784121320249777,0.001940623190447126,Chapter103.txt
Chapter109,3,Chapter109.txt,0.2964190981432361,0.41045901437850596,0.2964190981432361,0.33398128042781333,Chapter109.txt
Chapter95,2,Chapter95.txt,0.46533127889060094,0.6506919106687982,0.46533127889060094,0.5265978656214646,Chapter95.txt
Chapter94,5,Chapter94.txt,0.011642156862745098,0.06595520152505446,0.011642156862745098,0.01662532761004976,Chapter94.txt
Chapter124,5,Chapter124.txt,0.008766437069505322,0.047400209892382715,0.008766437069505322,0.013095961933456149,Chapter124.txt
Chapter67,3,Chapter67.txt,0.7254697286012526,0.8139610137816912,0.7254697286012526,0.7604221093672408,Chapter67.txt
Chapter72,6,Chapter72.txt,0.31288056206088993,0.6342110706636371,0.31288056206088993,0.3978493261736467,Chapter72.txt
Chapter132,5,Chapter132.txt,0.003754106053496011,0.025195170854485728,0.003754106053496011,0.005815503841324234,Chapter132.txt
Chapter33,4,Chapter33.txt,0.2485453034081463,0.5589494225686005,0.2485453034081463,0.3212294836219706,Chapter33.txt
Chapter128,5,Chapter128.txt,0.040455840455840456,0.3091982091982092,0.040455840455840456,0.05961695885412527,Chapter128.txt
Chapter42,11,Chapter42.txt,0.0,0.0,0.0,0.0,Chapter42.txt
Chapter117,3,Chapter117.txt,0.5610795454545454,0.6766472288676236,0.5610795454545454,0.6005770288243724,Chapter117.txt
Chapter7,5,Chapter7.txt,0.012205044751830757,0.04020884187686466,0.012205044751830757,0.015829367721149658,Chapter7.txt
Chapter114,3,Chapter114.txt,0.4729857819905213,0.5161121032720607,0.4729857819905213,0.4824885643326465,Chapter114.txt
Chapter69,3,Chapter69.txt,0.008339124391938846,0.008644001187842908,0.008339124391938846,0.007221417159806515,Chapter69.txt
Chapter85,6,Chapter85.txt,0.24216634429400385,0.602308873843171,0.24216634429400385,0.32342358806882726,Chapter85.txt
Chapter11,3,Chapter11.txt,0.33624801271860094,0.3790931277234622,0.33624801271860094,0.34483222554445725,Chapter11.txt
Chapter75,4,Chapter75.txt,0.34796238244514105,0.6697267118113513,0.34796238244514105,0.43435604582578263,Chapter75.txt
Chapter21,5,Chapter21.txt,0.005095541401273885,0.012703467799009199,0.005095541401273885,0.00628325215436493,Chapter21.txt
Chapter51,5,Chapter51.txt,0.001072961373390558,0.0028314258464473057,0.001072961373390558,0.0009569928038981573,Chapter51.txt
Chapter23,2,Chapter23.txt,0.7755102040816326,0.7745643871583722,0.7755102040816326,0.7726640371925163,Chapter23.txt
Chapter66,2,Chapter66.txt,0.0008,5.673758865248227e-06,0.0008,1.1267605633802817e-05,Chapter66.txt
Chapter64,10,Chapter64.txt,0.1396521300731031,0.5028536010402542,0.1396521300731031,0.19814227393433656,Chapter64.txt
Chapter5,3,Chapter5.txt,0.4160659114315139,0.6570182351986245,0.4160659114315139,0.48931805323339256,Chapter5.txt
Chapter25,1,Chapter25.txt,0.8080808080808081,0.8224528838165203,0.8080808080808081,0.8106670280388008,Chapter25.txt
Chapter126,5,Chapter126.txt,0.004009163802978236,0.07731958762886598,0.004009163802978236,0.006255216647163739,Chapter126.txt
Chapter45,11,Chapter45.txt,0.11033821060206285,0.5577136351551363,0.11033821060206285,0.16600202671270156,Chapter45.txt
Chapter122,1,Chapter122.txt,0.6666666666666666,0.657483930211203,0.6666666666666666,0.6582491582491582,Chapter122.txt
Chapter24,6,Chapter24.txt,0.0,0.0,0.0,0.0,Chapter24.txt
Chapter92,4,Chapter92.txt,0.33710590137429264,0.6143138132046967,0.33710590137429264,0.4141258472963669,Chapter92.txt
Chapter68,4,Chapter68.txt,0.31007751937984496,0.6072673481789952,0.31007751937984496,0.39015081260972917,Chapter68.txt
Chapter30,2,Chapter30.txt,0.8535353535353535,0.856986531986532,0.8535353535353535,0.8526881720430106,Chapter30.txt
Chapter40,7,Chapter40.txt,0.20016306563391764,0.49697159854239176,0.20016306563391764,0.26324668813367047,Chapter40.txt
Chapter41,12,Chapter41.txt,0.10397096498719044,0.4484631316097774,0.10397096498719044,0.1531642270689355,Chapter41.txt
Chapter106,3,Chapter106.txt,0.49876948318293685,0.7335483363097218,0.49876948318293685,0.5781211770383118,Chapter106.txt
Chapter111,2,Chapter111.txt,0.600997506234414,0.527973126183989,0.600997506234414,0.5543477852135714,Chapter111.txt
Chapter120,2,Chapter120.txt,0.43737574552683894,0.38402369914760104,0.43737574552683894,0.40085571039674006,Chapter120.txt
Chapter91,9,Chapter91.txt,0.11369904995403003,0.5078084216228101,0.11369904995403003,0.16590275807635246,Chapter91.txt
Chapter100,9,Chapter100.txt,0.16906474820143885,0.586001045673227,0.16906474820143885,0.23992395044923578,Chapter100.txt
Chapter71,8,Chapter71.txt,0.0002973535533749628,1.9956614320467305e-06,0.0002973535533749628,3.964714044999505e-06,Chapter71.txt
Chapter29,5,Chapter29.txt,0.0012626262626262627,0.0001147842056932966,0.0012626262626262627,0.00021043771043771043,Chapter29.txt
Chapter123,5,Chapter123.txt,0.003324468085106383,0.036901595744680854,0.003324468085106383,0.005296564996857886,Chapter123.txt
Chapter112,3,Chapter112.txt,0.0017271157167530224,0.006908462867012089,0.0017271157167530224,0.0019596120632390064,Chapter112.txt
Chapter3,17,Chapter3.txt,0.0,0.0,0.0,0.0,Chapter3.txt
Chapter58,4,Chapter58.txt,0.001557632398753894,0.0022585669781931463,0.001557632398753894,0.0015576323987538938,Chapter58.txt
Chapter130,6,Chapter130.txt,0.1825726141078838,0.5108504341475905,0.1825726141078838,0.2451928843620952,Chapter130.txt
Chapter84,3,Chapter84.txt,0.4659090909090909,0.6552065220879371,0.4659090909090909,0.52905628145711,Chapter84.txt
Chapter38,2,Chapter38.txt,0.012354651162790697,0.012309213339480096,0.012354651162790697,0.010974245115643594,Chapter38.txt
Chapter20,3,Chapter20.txt,0.5882352941176471,0.7628289580309027,0.5882352941176471,0.6505601095380603,Chapter20.txt
Chapter48,13,Chapter48.txt,0.0,0.0,0.0,0.0,Chapter48.txt
Chapter6,3,Chapter6.txt,0.5631672597864769,0.7003753147820364,0.5631672597864769,0.6135001866393885,Chapter6.txt
Chapter81,13,Chapter81.txt,0.0010259917920656635,0.06754445964432285,0.0010259917920656635,0.0018197449874946456,Chapter81.txt
Chapter2,5,Chapter2.txt,0.004050925925925926,0.03761574074074074,0.004050925925925926,0.006102735304404211,Chapter2.txt
Chapter61,6,Chapter61.txt,0.2194633560272327,0.5924910558037074,0.2194633560272327,0.2948658790022599,Chapter61.txt
Chapter12,3,Chapter12.txt,0.5629820051413882,0.7521248312385884,0.5629820051413882,0.6278443596046019,Chapter12.txt
